game_id,week,team,opponent,player_id,pbp_player_name,gsis_id,player_name,position,q1_rush_att,q1_rush_yds,q1_ypc,site,team_q1_rush_att,team_q1_rush_yds,rb_q1_carry_share,rb_q1_yard_share,hit_15,hit_20,hit_25
2025_04_WAS_ATL,4,WAS,ATL,00-0040242,J.Croskey-Merritt,00-0040242,Jacory Croskey-Merritt,RB,0,0.0,0.0,A,3,48.0,0.0,0.0,0,0,0
2025_05_DAL_NYJ,5,DAL,NYJ,00-0036997,J.Williams,00-0036997,Javonte Williams,RB,4,20.0,5.0,A,5,20.0,0.8,1.0,1,1,0
2025_05_DAL_NYJ,5,DAL,NYJ,00-0040586,J.Blue,00-0040586,Jaydon Blue,RB,0,0.0,0.0,A,5,20.0,0.0,0.0,0,0,0
2025_05_DAL_NYJ,5,NYJ,DAL,00-0038120,B.Hall,00-0038120,Breece Hall,RB,6,42.0,7.0,H,9,53.0,0.6666666666666666,0.7924528301886793,1,1,1
2025_05_DAL_NYJ,5,NYJ,DAL,00-0039798,I.Davis,00-0039798,Isaiah Davis,RB,1,5.0,5.0,H,9,53.0,0.1111111111111111,0.09433962264150944,0,0,0
2025_05_DEN_PHI,5,DEN,PHI,00-0036158,J.Dobbins,00-0036158,J.K. Dobbins,RB,4,10.0,2.5,A,7,18.0,0.5714285714285714,0.5555555555555556,0,0,0
2025_05_DEN_PHI,5,DEN,PHI,00-0036727,A.Prentice,00-0036727,Adam Prentice,RB,0,0.0,0.0,A,7,18.0,0.0,0.0,0,0,0
2025_05_DEN_PHI,5,DEN,PHI,00-0040730,R.Harvey,00-0040730,RJ Harvey,RB,2,-1.0,-0.5,A,7,18.0,0.2857142857142857,-0.05555555555555555,0,0,0
2025_05_DEN_PHI,5,PHI,DEN,00-0034844,S.Barkley,00-0034844,Saquon Barkley,RB,2,20.0,10.0,H,4,32.0,0.5,0.625,1,1,0
2025_05_DEN_PHI,5,PHI,DEN,00-0036265,A.Dillon,00-0036265,AJ Dillon,RB,2,12.0,6.0,H,4,32.0,0.5,0.375,0,0,0
2025_05_DEN_PHI,5,PHI,DEN,00-0039746,W.Shipley,00-0039746,Will Shipley,RB,0,0.0,0.0,H,4,32.0,0.0,0.0,0,0,0
2025_05_DET_CIN,5,CIN,DET,00-0038597,C.Brown,00-0038597,Chase Brown,RB,2,8.0,4.0,H,2,8.0,1.0,1.0,0,0,0
2025_05_DET_CIN,5,CIN,DET,00-0033526,S.Perine,00-0033526,Samaje Perine,RB,0,0.0,0.0,H,2,8.0,0.0,0.0,0,0,0
2025_05_DET_CIN,5,DET,CIN,00-0039139,J.Gibbs,00-0039139,Jahmyr Gibbs,RB,6,28.0,4.666666666666667,A,9,28.0,0.6666666666666666,1.0,1,1,1
2025_05_DET_CIN,5,DET,CIN,00-0035685,D.Montgomery,00-0035685,David Montgomery,RB,2,-1.0,-0.5,A,9,28.0,0.2222222222222222,-0.03571428571428571,0,0,0
2025_05_HOU_BAL,5,BAL,HOU,00-0032764,D.Henry,00-0032764,Derrick Henry,RB,5,6.0,1.2,H,6,12.0,0.8333333333333334,0.5,0,0,0
2025_05_HOU_BAL,5,BAL,HOU,00-0038454,K.Mitchell,00-0038454,Keaton Mitchell,RB,1,6.0,6.0,H,6,12.0,0.16666666666666666,0.5,0,0,0
2025_05_HOU_BAL,5,BAL,HOU,00-0034975,J.Hill,00-0034975,Justice Hill,RB,0,0.0,0.0,H,6,12.0,0.0,0.0,0,0,0
2025_05_HOU_BAL,5,HOU,BAL,00-0034791,N.Chubb,00-0034791,Nick Chubb,RB,4,20.0,5.0,A,7,29.0,0.5714285714285714,0.6896551724137931,1,1,0
2025_05_HOU_BAL,5,HOU,BAL,00-0039603,B.Brooks,00-0039603,British Brooks,RB,1,9.0,9.0,A,7,29.0,0.14285714285714285,0.3103448275862069,0,0,0
2025_05_HOU_BAL,5,HOU,BAL,00-0040583,W.Marks,00-0040583,Woody Marks,RB,2,0.0,0.0,A,7,29.0,0.2857142857142857,0.0,0,0,0
2025_05_HOU_BAL,5,HOU,BAL,00-0037258,D.Pierce,00-0037258,Dameon Pierce,RB,0,0.0,0.0,A,7,29.0,0.0,0.0,0,0,0
2025_05_KC_JAX,5,JAX,KC,00-0036973,T.Etienne,00-0036973,Travis Etienne,RB,5,15.0,3.0,H,7,18.0,0.7142857142857143,0.8333333333333334,1,0,0
2025_05_KC_JAX,5,JAX,KC,00-0040719,B.Tuten,00-0040719,Bhayshul Tuten,RB,0,0.0,0.0,H,7,18.0,0.0,0.0,0,0,0
2025_05_KC_JAX,5,KC,JAX,00-0037197,I.Pacheco,00-0037197,Isiah Pacheco,RB,1,16.0,16.0,A,4,30.0,0.25,0.5333333333333333,1,0,0
2025_05_KC_JAX,5,KC,JAX,00-0040078,B.Smith,00-0040078,Brashard Smith,RB,1,4.0,4.0,A,4,30.0,0.25,0.13333333333333333,0,0,0
2025_05_KC_JAX,5,KC,JAX,00-0033923,K.Hunt,00-0033923,Kareem Hunt,RB,1,1.0,1.0,A,4,30.0,0.25,0.03333333333333333,0,0,0
2025_05_LV_IND,5,IND,LV,00-0036223,J.Taylor,00-0036223,Jonathan Taylor,RB,2,2.0,1.0,H,3,4.0,0.6666666666666666,0.5,0,0,0
2025_05_LV_IND,5,IND,LV,00-0032104,A.Abdullah,00-0032104,Ameer Abdullah,RB,0,0.0,0.0,H,3,4.0,0.0,0.0,0,0,0
2025_05_LV_IND,5,IND,LV,00-0040179,D.Giddens,00-0040179,DJ Giddens,RB,0,0.0,0.0,H,3,4.0,0.0,0.0,0,0,0
2025_05_LV_IND,5,LV,IND,00-0040122,A.Jeanty,00-0040122,Ashton Jeanty,RB,5,22.0,4.4,A,7,34.0,0.7142857142857143,0.6470588235294118,1,1,0
2025_05_LV_IND,5,LV,IND,00-0031687,R.Mostert,00-0031687,Raheem Mostert,RB,0,0.0,0.0,A,7,34.0,0.0,0.0,0,0,0
2025_05_MIA_CAR,5,CAR,MIA,00-0036139,R.Dowdle,00-0036139,Rico Dowdle,RB,2,5.0,2.5,H,2,5.0,1.0,1.0,0,0,0
2025_05_MIA_CAR,5,CAR,MIA,00-0040644,T.Etienne,00-0040644,Trevor Etienne,RB,0,0.0,0.0,H,2,5.0,0.0,0.0,0,0,0
2025_05_MIA_CAR,5,MIA,CAR,00-0039040,D.Achane,00-0039040,De'Von Achane,RB,6,12.0,2.0,A,7,15.0,0.8571428571428571,0.8,0,0,0
2025_05_MIA_CAR,5,MIA,CAR,00-0040198,O.Gordon,00-0040198,Ollie Gordon II,RB,1,3.0,3.0,A,7,15.0,0.14285714285714285,0.2,0,0,0
2025_05_MIN_CLE,5,CLE,MIN,00-0040784,Q.Judkins,00-0040784,Quinshon Judkins,RB,7,48.0,6.857142857142857,H,8,51.0,0.875,0.9411764705882353,1,1,1
2025_05_MIN_CLE,5,CLE,MIN,00-0037267,J.Ford,00-0037267,Jerome Ford,RB,1,3.0,3.0,H,8,51.0,0.125,0.058823529411764705,0,0,0
2025_05_MIN_CLE,5,CLE,MIN,00-0040162,D.Sampson,00-0040162,Dylan Sampson,RB,0,0.0,0.0,H,8,51.0,0.0,0.0,0,0,0
2025_05_MIN_CLE,5,MIN,CLE,00-0037525,J.Mason,00-0037525,Jordan Mason,RB,3,16.0,5.333333333333333,A,5,24.0,0.6,0.6666666666666666,1,0,0
2025_05_MIN_CLE,5,MIN,CLE,00-0038440,Z.Scott,00-0038440,Zavier Scott,RB,2,8.0,4.0,A,5,24.0,0.4,0.3333333333333333,0,0,0
2025_05_NE_BUF,5,BUF,NE,00-0037248,J.Cook,00-0037248,James Cook,RB,3,12.0,4.0,H,5,15.0,0.6,0.8,0,0,0
2025_05_NE_BUF,5,BUF,NE,00-0035537,Ty.Johnson,00-0035537,Ty Johnson,RB,0,0.0,0.0,H,5,15.0,0.0,0.0,0,0,0
2025_05_NE_BUF,5,BUF,NE,00-0039875,R.Davis,00-0039875,Ray Davis,RB,0,0.0,0.0,H,5,15.0,0.0,0.0,0,0,0
2025_05_NE_BUF,5,NE,BUF,00-0036328,A.Gibson,00-0036328,Antonio Gibson,RB,6,21.0,3.5,A,7,19.0,0.8571428571428571,1.105263157894737,1,1,0
2025_05_NE_BUF,5,NE,BUF,00-0040734,T.Henderson,00-0040734,TreVeyon Henderson,RB,0,0.0,0.0,A,7,19.0,0.0,0.0,0,0,0
2025_05_NE_BUF,5,NE,BUF,00-0036875,R.Stevenson,00-0036875,Rhamondre Stevenson,RB,1,-2.0,-2.0,A,7,19.0,0.14285714285714285,-0.10526315789473684,0,0,0
2025_05_NYG_NO,5,NO,NYG,00-0033906,A.Kamara,00-0033906,Alvin Kamara,RB,4,15.0,3.75,H,8,17.0,0.5,0.8823529411764706,1,0,0
2025_05_NYG_NO,5,NO,NYG,00-0038551,K.Miller,00-0038551,Kendre Miller,RB,1,2.0,2.0,H,8,17.0,0.125,0.11764705882352941,0,0,0
