team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_20,rush_yds_hit_25,rush_yds_hit_30,rush_yds_hit_35,rush_yds_hit_40,rush_att_mean,rush_att_median,ypc_mean,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_65,rush_yds_hit_75,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100,rush_yds_hit_120
BAL,1H,17,71.88235294117646,68.0,44.94425613100689,14.0,44.0,76.0,175.0,,,,0.7647058823529411,,14.529411764705882,12.0,4.947368421052632,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.29411764705882354,,,,,,
BUF,1H,17,79.17647058823529,72.0,38.057596125312095,23.0,54.0,90.0,158.0,,,,0.8823529411764706,,13.823529411764707,12.0,5.727659574468085,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.4117647058823529,,,,,,
CAR,1H,17,57.88235294117647,57.0,24.873520891150317,5.0,49.0,79.0,92.0,,,,0.8235294117647058,,12.941176470588236,13.0,4.472727272727273,0.7647058823529411,0.5882352941176471,0.4117647058823529,0.29411764705882354,,,,,,
CHI,1H,17,67.23529411764706,63.0,33.90736413466186,2.0,48.0,80.0,142.0,,,,0.8823529411764706,,14.294117647058824,14.0,4.703703703703703,0.8235294117647058,0.7058823529411765,0.47058823529411764,0.29411764705882354,,,,,,
CIN,1H,17,51.529411764705884,39.0,24.657936670176802,25.0,34.0,64.0,104.0,,,,0.7058823529411765,,11.529411764705882,11.0,4.469387755102041,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.17647058823529413,,,,,,
CLE,1H,17,44.64705882352941,34.0,25.397872019407195,8.0,26.0,62.0,94.0,,,,0.47058823529411764,,12.411764705882353,12.0,3.5971563981042656,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.11764705882352941,,,,,,
DAL,1H,17,64.41176470588235,61.0,30.47478962631516,16.0,50.0,72.0,128.0,,,,0.8235294117647058,,13.470588235294118,13.0,4.781659388646288,0.7647058823529411,0.5294117647058824,0.47058823529411764,0.23529411764705882,,,,,,
DEN,1H,17,47.94117647058823,48.0,23.934888609173928,11.0,29.0,62.0,95.0,,,,0.6470588235294118,,11.235294117647058,11.0,4.267015706806283,0.5294117647058824,0.29411764705882354,0.23529411764705882,0.17647058823529413,,,,,,
DET,1H,17,57.470588235294116,48.0,28.722030173736645,18.0,37.0,83.0,118.0,,,,0.7647058823529411,,13.529411764705882,14.0,4.247826086956522,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.29411764705882354,,,,,,
GB,1H,17,51.529411764705884,56.0,27.797836663729626,11.0,31.0,70.0,106.0,,,,0.6470588235294118,,13.176470588235293,14.0,3.9107142857142856,0.5294117647058824,0.5294117647058824,0.29411764705882354,0.23529411764705882,,,,,,
HOU,1H,17,52.705882352941174,50.0,19.216306512599115,20.0,41.0,64.0,99.0,,,,0.8823529411764706,,13.411764705882353,15.0,3.9298245614035086,0.5882352941176471,0.35294117647058826,0.23529411764705882,0.11764705882352941,,,,,,
IND,1H,17,50.64705882352941,50.0,23.131188968883265,19.0,30.0,72.0,104.0,,,,0.6470588235294118,,12.705882352941176,12.0,3.986111111111111,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.11764705882352941,,,,,,
JAX,1H,17,59.1764705882353,52.0,31.14904454037951,11.0,34.0,78.0,134.0,,,,0.7058823529411765,,11.882352941176471,13.0,4.98019801980198,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.4117647058823529,,,,,,
KC,1H,17,57.8235294117647,54.0,17.23960997961192,36.0,43.0,70.0,97.0,,,,1.0,,12.294117647058824,12.0,4.70334928229665,0.7058823529411765,0.47058823529411764,0.29411764705882354,0.11764705882352941,,,,,,
LA,1H,17,62.470588235294116,63.0,27.20535770559309,24.0,39.0,79.0,115.0,,,,0.8235294117647058,,12.705882352941176,13.0,4.916666666666667,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.4117647058823529,,,,,,
LAC,1H,17,52.05882352941177,53.0,20.532529680643474,10.0,38.0,60.0,98.0,,,,0.8235294117647058,,12.235294117647058,12.0,4.2548076923076925,0.5882352941176471,0.4117647058823529,0.23529411764705882,0.17647058823529413,,,,,,
LV,1H,17,42.411764705882355,35.0,29.34793072879728,6.0,24.0,50.0,138.0,,,,0.5294117647058824,,10.705882352941176,10.0,3.9615384615384617,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.11764705882352941,,,,,,
MIA,1H,17,71.3529411764706,66.0,32.884720529307494,14.0,52.0,88.0,153.0,,,,0.8823529411764706,,12.823529411764707,12.0,5.564220183486238,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.47058823529411764,,,,,,
MIN,1H,17,45.588235294117645,48.0,22.56248532286806,10.0,28.0,63.0,86.0,,,,0.7058823529411765,,12.117647058823529,12.0,3.762135922330097,0.5294117647058824,0.35294117647058826,0.23529411764705882,0.11764705882352941,,,,,,
NE,1H,17,74.23529411764706,62.0,41.50482524997716,22.0,44.0,102.0,177.0,,,,0.8235294117647058,,15.176470588235293,15.0,4.891472868217054,0.7058823529411765,0.5882352941176471,0.47058823529411764,0.29411764705882354,,,,,,
NO,1H,17,43.411764705882355,45.0,25.26112759704223,14.0,21.0,51.0,118.0,,,,0.5882352941176471,,12.470588235294118,13.0,3.481132075471698,0.5294117647058824,0.23529411764705882,0.11764705882352941,0.11764705882352941,,,,,,
NYG,1H,17,57.05882352941177,52.0,21.97450551738455,23.0,38.0,75.0,95.0,,,,0.8235294117647058,,13.705882352941176,13.0,4.163090128755365,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.35294117647058826,,,,,,
