game_id,week,team,window,opponent,player_id,pbp_player_name,gsis_id,player_name,position,rush_att,rush_yds,site,team_rush_att,team_rush_yds,carry_share,yard_share
2025_01_ARI_NO,1,ARI,Q1,NO,00-0033553,J.Conner,00-0033553,James Conner,RB,5,17.0,A,7,31.0,0.7142857142857143,0.5483870967741935
2025_01_ARI_NO,1,ARI,Q1,NO,00-0039921,T.Benson,00-0039921,Trey Benson,RB,1,1.0,A,7,31.0,0.14285714285714285,0.03225806451612903
2025_01_ARI_NO,1,NO,Q1,ARI,00-0033906,A.Kamara,00-0033906,Alvin Kamara,RB,3,14.0,H,6,32.0,0.5,0.4375
2025_01_ARI_NO,1,NO,Q1,ARI,00-0038551,K.Miller,00-0038551,Kendre Miller,RB,1,10.0,H,6,32.0,0.16666666666666666,0.3125
2025_01_ARI_NO,1,NO,Q1,ARI,00-0040202,D.Neal,00-0040202,Devin Neal,RB,0,0.0,H,6,32.0,0.0,0.0
2025_01_BAL_BUF,1,BUF,Q1,BAL,00-0037248,J.Cook,00-0037248,James Cook,RB,4,10.0,H,6,30.0,0.6666666666666666,0.3333333333333333
2025_01_BAL_BUF,1,BUF,Q1,BAL,00-0035537,Ty.Johnson,00-0035537,Ty Johnson,RB,1,17.0,H,6,30.0,0.16666666666666666,0.5666666666666667
2025_01_BAL_BUF,1,BAL,Q1,BUF,00-0032764,D.Henry,00-0032764,Derrick Henry,RB,5,22.0,A,8,42.0,0.625,0.5238095238095238
2025_01_BAL_BUF,1,BAL,Q1,BUF,00-0034975,J.Hill,00-0034975,Justice Hill,RB,1,1.0,A,8,42.0,0.125,0.023809523809523808
2025_01_BAL_BUF,1,BAL,Q1,BUF,00-0039796,R.Ali,00-0039796,Rasheen Ali,RB,0,0.0,A,8,42.0,0.0,0.0
2025_01_BAL_BUF,1,BUF,Q1,BAL,00-0039875,R.Davis,00-0039875,Ray Davis,RB,0,0.0,H,6,30.0,0.0,0.0
2025_01_CAR_JAX,1,JAX,Q1,CAR,00-0036973,T.Etienne,00-0036973,Travis Etienne,RB,3,14.0,H,4,18.0,0.75,0.7777777777777778
2025_01_CAR_JAX,1,CAR,Q1,JAX,00-0036555,C.Hubbard,00-0036555,Chuba Hubbard,RB,6,22.0,A,7,25.0,0.8571428571428571,0.88
