team_depth,depth_player_name,player_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order,player_name,team_hist,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean,hist_data_available,same_team_2025_2026,depth_default_room_share,role_confidence
JAX,Bhayshul Tuten,00-0040719,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Bhayshul Tuten,JAX,15.0,5.266666666666667,3.0,7.084882183604435,0.0,0.0,7.5,28.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.2,1.0,6.0,0.1629365079365079,0.2253888092965596,True,True,0.68,0.97
JAX,Chris Rodriguez Jr.,00-0038611,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Chris Rodriguez Jr.,WAS,12.0,15.166666666666666,12.5,15.799964838216852,0.0,0.0,25.25,51.0,0.5,0.4166666666666667,0.25,2.4166666666666665,2.0,5.0,0.3602182539682539,0.401077466175016,True,False,0.25,0.72
JAX,LeQuint Allen Jr.,00-0040238,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,LeQuint Allen Jr.,JAX,9.0,0.5555555555555556,0.0,1.0657403385139377,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.074074074074074,0.115079365079365,True,True,0.07,0.72
KC,Kenneth Walker III,00-0038134,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Kenneth Walker III,SEA,17.0,15.176470588235292,11.0,11.014617528900333,2.0,8.0,18.0,41.0,0.2941176470588235,0.2352941176470588,0.2352941176470588,3.4705882352941178,4.0,5.0,0.6194677871148458,0.6268376207137069,True,False,0.68,0.72
KC,Emmett Johnson,00-0041013,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,,,,,,,,,,,,,,,,,,,False,False,0.25,0.55
KC,Brashard Smith,00-0040078,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Brashard Smith,KC,11.0,4.181818181818182,0.0,9.86101766662486,0.0,0.0,3.0,35.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.0,6.0,0.1325757575757575,0.112812510486929,True,True,0.07,0.9
LA,Kyren Williams,00-0037840,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Kyren Williams,LA,17.0,22.176470588235293,17.0,17.866285351161693,1.0,13.0,27.0,76.0,0.7058823529411765,0.3529411764705882,0.3529411764705882,4.235294117647059,4.0,8.0,0.6643270128564246,0.634809031198674,True,True,0.68,0.97
LA,Blake Corum,00-0039738,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Blake Corum,LA,17.0,9.882352941176473,8.0,12.333037185883033,0.0,2.0,11.0,48.0,0.1764705882352941,0.1176470588235294,0.1176470588235294,1.9411764705882355,2.0,6.0,0.2889212095094448,0.3027252298175604,True,True,0.25,0.97
LA,Ronnie Rivers,00-0037557,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Ronnie Rivers,LA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.07,0.72
LAC,Omarion Hampton,00-0040666,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Omarion Hampton,LAC,9.0,9.22222222222222,9.0,7.3602200718574196,-3.0,3.0,14.0,22.0,0.2222222222222222,0.1111111111111111,0.0,3.4444444444444446,3.0,7.0,0.6139770723104055,0.4506711090502528,True,True,0.68,0.72
LAC,Keaton Mitchell,00-0038454,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Keaton Mitchell,BAL,12.0,4.416666666666667,1.5,5.634097581295123,0.0,0.0,7.0,18.0,0.0833333333333333,0.0,0.0,1.0,0.5,4.0,0.1049672549672549,0.121915933460074,True,False,0.25,0.72
LAC,Kimani Vidal,00-0039391,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Kimani Vidal,LAC,12.0,12.25,7.0,14.922717580923388,0.0,1.0,17.25,53.0,0.3333333333333333,0.25,0.1666666666666666,3.333333333333333,2.5,7.0,0.4656625781625781,0.4475606630211893,True,True,0.07,0.9
LV,Ashton Jeanty,00-0040122,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Ashton Jeanty,LV,17.0,14.941176470588236,14.0,10.79471868818699,-1.0,6.0,24.0,35.0,0.4705882352941176,0.3529411764705882,0.1764705882352941,4.117647058823529,4.0,8.0,0.8087768440709617,0.7994639542012633,True,True,0.68,0.97
LV,Mike Washington Jr.,WAS569019,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,,,,,,,,,,,,,,,,,,,False,False,0.25,0.55
LV,Dylan Laube,00-0039407,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Dylan Laube,LV,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.07,0.72
