defense,window,rush_yds_allowed_games,rush_yds_allowed_mean,rush_yds_allowed_median,rush_yds_allowed_std,rush_yds_allowed_min,rush_yds_allowed_p25,rush_yds_allowed_p75,rush_yds_allowed_max,rush_yds_allowed_hit_20,rush_yds_allowed_hit_25,rush_yds_allowed_hit_30,rush_yds_allowed_hit_35,rush_yds_allowed_hit_40,rush_att_allowed_mean,ypc_allowed,rush_yds_allowed_hit_45,rush_yds_allowed_hit_55,rush_yds_allowed_hit_65,rush_yds_allowed_hit_75,rush_yds_allowed_hit_50,rush_yds_allowed_hit_60,rush_yds_allowed_hit_70,rush_yds_allowed_hit_80,rush_yds_allowed_hit_100,rush_yds_allowed_hit_120
CLE,Full Game,17,116.41176470588235,109.0,43.95861532841651,45.0,91.0,142.0,184.0,,,,,,27.941176470588236,4.166315789473685,,,,,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.47058823529411764
DAL,Full Game,17,125.47058823529412,136.0,45.815637770960485,27.0,87.0,158.0,216.0,,,,,,26.58823529411765,4.719026548672566,,,,,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.5294117647058824
DEN,Full Game,17,91.05882352941177,82.0,33.34925801844207,40.0,71.0,113.0,167.0,,,,,,23.529411764705884,3.87,,,,,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.5882352941176471,0.4117647058823529,0.11764705882352941
DET,Full Game,17,114.52941176470588,112.0,43.95467939628783,41.0,85.0,142.0,230.0,,,,,,26.235294117647058,4.365470852017937,,,,,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.5294117647058824,0.47058823529411764
GB,Full Game,17,117.70588235294117,111.0,57.878945380328936,46.0,93.0,138.0,307.0,,,,,,28.0,4.203781512605042,,,,,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.5294117647058824,0.35294117647058826
HOU,Full Game,17,93.70588235294117,86.0,34.41744548384174,44.0,72.0,118.0,169.0,,,,,,23.529411764705884,3.9825,,,,,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.35294117647058826,0.23529411764705882
IND,Full Game,17,101.88235294117646,106.0,31.95195354966795,38.0,86.0,121.0,148.0,,,,,,26.352941176470587,3.8660714285714284,,,,,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.29411764705882354
JAX,Full Game,17,85.58823529411765,83.0,31.27122116829468,42.0,60.0,101.0,158.0,,,,,,21.705882352941178,3.9430894308943087,,,,,0.8823529411764706,0.7647058823529411,0.5882352941176471,0.5294117647058824,0.29411764705882354,0.17647058823529413
KC,Full Game,17,105.70588235294117,109.0,37.23338904149837,25.0,82.0,130.0,166.0,,,,,,26.352941176470587,4.011160714285714,,,,,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.4117647058823529
LA,Full Game,17,110.82352941176471,94.0,46.63908395593909,51.0,74.0,135.0,219.0,,,,,,25.647058823529413,4.321100917431193,,,,,1.0,0.8823529411764706,0.8823529411764706,0.6470588235294118,0.47058823529411764,0.35294117647058826
LAC,Full Game,17,105.3529411764706,116.0,44.18935349083211,31.0,73.0,134.0,192.0,,,,,,24.470588235294116,4.305288461538462,,,,,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.7058823529411765,0.5294117647058824,0.35294117647058826
LV,Full Game,17,116.82352941176471,96.0,47.423294467291996,60.0,81.0,152.0,201.0,,,,,,30.058823529411764,3.8864970645792565,,,,,1.0,1.0,0.7647058823529411,0.7647058823529411,0.47058823529411764,0.4117647058823529
MIA,Full Game,17,132.41176470588235,135.0,57.25490867579869,45.0,87.0,157.0,243.0,,,,,,27.58823529411765,4.79957356076759,,,,,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.5882352941176471
MIN,Full Game,17,124.11764705882354,128.0,46.01519231596705,45.0,107.0,140.0,218.0,,,,,,31.11764705882353,3.988657844990548,,,,,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.6470588235294118
NE,Full Game,17,101.70588235294117,111.0,41.72989435698325,39.0,64.0,129.0,171.0,,,,,,24.176470588235293,4.206812652068127,,,,,0.9411764705882353,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.5294117647058824,0.35294117647058826
NO,Full Game,17,120.58823529411765,121.0,47.35604666470104,49.0,77.0,164.0,222.0,,,,,,30.41176470588235,3.965183752417795,,,,,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.5294117647058824
NYG,Full Game,17,145.2941176470588,142.0,54.75374250532195,63.0,114.0,159.0,276.0,,,,,,27.352941176470587,5.311827956989247,,,,,1.0,1.0,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.6470588235294118
NYJ,Full Game,17,139.47058823529412,125.0,54.369236161918344,53.0,98.0,180.0,239.0,,,,,,31.705882352941178,4.398886827458256,,,,,1.0,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.6470588235294118
PHI,Full Game,17,124.41176470588235,120.0,51.802860270258535,46.0,90.0,143.0,281.0,,,,,,29.058823529411764,4.281376518218623,,,,,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.5294117647058824
PIT,Full Game,17,113.05882352941177,105.0,57.91115973752666,15.0,70.0,137.0,249.0,,,,,,26.529411764705884,4.261640798226164,,,,,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.29411764705882354
SEA,Full Game,17,91.94117647058823,89.0,30.91633984164607,53.0,64.0,119.0,157.0,,,,,,24.58823529411765,3.7392344497607657,,,,,1.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.23529411764705882
SF,Full Game,17,107.82352941176471,110.0,37.97249049775477,36.0,78.0,136.0,180.0,,,,,,24.941176470588236,4.32311320754717,,,,,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.6470588235294118,0.4117647058823529
TB,Full Game,17,99.05882352941177,97.0,38.531073156816134,19.0,70.0,122.0,166.0,,,,,,23.294117647058822,4.252525252525253,,,,,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.4117647058823529,0.29411764705882354
TEN,Full Game,17,114.58823529411765,129.0,40.812424324447505,51.0,70.0,149.0,175.0,,,,,,26.647058823529413,4.300220750551876,,,,,1.0,0.9411764705882353,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.5294117647058824
WAS,Full Game,17,141.8235294117647,148.0,45.12105976816232,74.0,93.0,162.0,226.0,,,,,,29.647058823529413,4.783730158730159,,,,,1.0,1.0,1.0,0.9411764705882353,0.7058823529411765,0.7058823529411765
